"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","@Green Bay","Detroit","Houston","Chicago","@N.Y. Giants","Kansas City","Miami","Jacksonville","@Tennessee","Cleveland","Arizona","Minnesota","Buffalo","Dallas"
"2","@Cincinnati","@Cincinnati","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay","@Green Bay"
"3","@St. Louis","@St. Louis","@St. Louis","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati","@Cincinnati"
"4","New England","New England","New England","New England","@St. Louis","@St. Louis","@St. Louis","@St. Louis","@St. Louis","@St. Louis","@St. Louis","@St. Louis","@St. Louis","@St. Louis"
"5","@Denver","@Denver","@Denver","@Denver","@Denver","New England","New England","New England","New England","New England","New England","New England","New England","New England"
"6","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Denver","@Denver","@Denver","@Denver","@Denver","@Denver","@Denver","@Denver"
"7","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia"
"8","Carolina","Carolina","Carolina","Carolina","Carolina","Carolina","Carolina","Carolina","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore"
"9","@Pittsburgh","@Pittsburgh","@Pittsburgh","@Pittsburgh","@Pittsburgh","@Pittsburgh","@Pittsburgh","@Pittsburgh","@Pittsburgh","Carolina","Carolina","Carolina","Carolina","Carolina"
"10","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Pittsburgh","@Pittsburgh","@Pittsburgh","@Pittsburgh"
"11","@Oakland","@Oakland","@Oakland","@Oakland","@Oakland","@Oakland","@Oakland","@Oakland","@Oakland","@Oakland","@Oakland","@Seattle","@Seattle","@Seattle"
"12","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@N.Y. Jets","@Oakland","@Oakland"
"13","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@Tampa Bay","@N.Y. Jets"
"14","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans","New Orleans"
